S.No.	Organization	Problem Statement Title	Category	PS Number	Submitted Idea(s) Count	Theme

1	AICTE, MIC-Student Innovation	Student Innovation	Software	SIH1586	0	Smart Education

2	AICTE, MIC-Student Innovation	Student Innovation	Software	SIH1587	0	Disaster Management

3	AICTE, MIC-Student Innovation	Student Innovation	Software	SIH1588	0	Miscellaneous

4	AICTE, MIC-Student Innovation	Student Innovation	Software	SIH1589	0	Blockchain & Cybersecurity

5	AICTE, MIC-Student Innovation	Student Innovation	Software	SIH1590	0	Renewable / Sustainable Energy

6	AICTE, MIC-Student Innovation	Student Innovation	Software	SIH1591	0	Transportation & Logistics

7	AICTE, MIC-Student Innovation	Student Innovation	Software	SIH1592	0	Clean & Green Technology

8	AICTE, MIC-Student Innovation	Student Innovation	Software	SIH1593	0	Robotics and Drones

9	AICTE, MIC-Student Innovation	Student Innovation	Software	SIH1594	0	Transportation & Logistics

10	AICTE, MIC-Student Innovation	Student Innovation	Software	SIH1595	0	Smart Vehicles

11	AICTE, MIC-Student Innovation	Student Innovation	Software	SIH1596	0	Agriculture, FoodTech & Rural Development

12	AICTE, MIC-Student Innovation	Student Innovation	Software	SIH1597	0	MedTech / BioTech / HealthTech

13	AICTE, MIC-Student Innovation	Student Innovation	Software	SIH1598	0	Heritage & Culture

14	AICTE, MIC-Student Innovation	Student Innovation	Software	SIH1599	0	Fitness & Sports

15	AICTE, MIC-Student Innovation	Student Innovation	Software	SIH1600	0	Smart Automation

16	AICTE, MIC-Student Innovation	Student Innovation	Software	SIH1601	0	Toys & Games

17	AICTE, MIC-Student Innovation	Student Innovation	Software	SIH1602	0	Space Technology

18	Autodesk	Research and develop a design on “ autonomous water surface cleaning robot “	Software	SIH1603	0	Robotics and Drones

19	Bharat Electronics Limited (BEL)	Conversational Image Recognition Chatbot	Software	SIH1604	0	Smart Automation

20	Bharat Electronics Limited (BEL)	Women Safety Analytics – Protecting Women from safety threats	Software	SIH1605	0	Miscellaneous

21	Bharat Electronics Limited (BEL)	Micro-Doppler based Target Classification	Software	SIH1606	0	Robotics and Drones

22	Department of Science and Technology	A smart AI based solution for traffic management on routes with heavy traffic from different directions, with real-time monitoring and adaptation of traffic light timings	Software	SIH1607	0	Smart Automation

23	Government of Gujarat	Enhancing Monitoring and Management of Research, IPR, Innovation, and Start-ups in Gujarat State	Software	SIH1608	0	Smart Education

24	Government of Gujarat	Implementation of the Alumni Association platform for the University/Institute.	Software	SIH1609	0	Smart Education

25	Government of Gujarat	Learning App for Deaf And Mute and sign language-English/Gujarati converter	Software	SIH1610	0	Smart Education

26	Government of Himachal Pardesh	Drone-Based Intelligent System for Apple Orchard Management in Himachal Pradesh	Software	SIH1611	0	Agriculture, FoodTech & Rural Development

27	Government of NCT of Delhi	Automated Bus Scheduling and Route Management System for Delhi Transport Corporation	Software	SIH1612	0	Smart Vehicles

28	Government of NCT of Delhi	Automated System for Career Advancements of the Faculties of Higher Education	Software	SIH1613	0	Smart Education

29	Government of NCT of Delhi	Publications summary generator for faculty members profile building	Software	SIH1614	0	Smart Education

30	Government of NCT of Delhi	Learning path dashboard for enhancing skills	Software	SIH1615	0	Smart Education

31	Government of NCT of Delhi	The technological solutions for capturing AQI values through mobile and other forms of stations	Software	SIH1616	0	Clean & Green Technology

32	Government of NCT of Delhi	Dynamic route rationalization model based on machine learning/AI would be required based on real-time traffic and road parameters.	Software	SIH1617	0	Smart Automation

33	Government of NCT of Delhi	Online monitoring of Unauthorized construction across the city	Software	SIH1618	0	Robotics and Drones

34	Government of NCT of Delhi	Online real-time survey and monitoring of water bodies in Delhi	Software	SIH1619	0	Miscellaneous

35	Government of NCT of Delhi	Queuing models in OPDs/ availability of beds/ admission of patients. A hospital based solution is ideal which can be integrated with city wide module	Software	SIH1620	0	MedTech / BioTech / HealthTech

36	Government of NCT of Delhi	Online testing and monitoring of quality of medicines and consumables	Software	SIH1621	0	MedTech / BioTech / HealthTech

37	Government of NCT of Delhi	Online issuance of Caste and other certificates by Revenue Department need real-time monitoring	Software	SIH1622	0	Smart Automation

38	Government of NCT of Delhi	real-time monitoring and evaluation software for application received in Fire Department relating to inspections, follow-ups, issue of NOCs	Software	SIH1623	0	Smart Automation

39	Government of NCT of Delhi	To develop an Artificial Intelligence (AI) based model for electricity demand projection including peak demand projection for Delhi Power system	Software	SIH1624	0	Smart Automation

40	Government of NCT of Delhi	Smart Classroom Management Software for Enhanced Learning Environments	Software	SIH1625	0	Smart Automation

41	Government of NCT of Delhi	Health Data Information & Management System Mobile Application (HDIMS)	Software	SIH1626	0	MedTech / BioTech / HealthTech

